Spectators,Year,Month,Weekday,Timevalue,Won,Homegame,Opponent,Winstreak,Wins/losses
5480,10,9,3,2,0,1,0,0,0
4033,10,9,4,2,0,0,1,0,-1
4891,10,9,1,2,1,1,2,0,-2
4664,10,9,3,2,0,1,3,1,-1
5347,10,9,5,2,0,0,4,0,-2
5408,10,9,1,2,1,1,5,0,-3
6071,10,10,5,2,1,1,6,1,-2
3170,10,10,1,2,0,0,7,2,-1
4012,10,10,3,2,0,0,8,0,-2
5703,10,10,5,2,1,1,9,0,-3
2808,10,10,1,2,0,0,2,1,-2
5050,10,10,3,2,1,1,10,0,-3
5418,10,10,5,2,1,1,3,1,-2
6542,10,10,1,2,0,0,11,2,-1
5811,10,10,3,2,0,1,1,0,-2
6699,10,10,1,2,0,1,7,0,-3
9417,10,10,4,2,1,0,5,0,-4
5113,10,11,1,2,1,1,2,1,-3
3578,10,11,3,2,0,0,12,2,-2
6071,10,11,5,2,0,0,9,0,-3
5396,10,11,1,2,0,1,8,0,-4
2605,10,11,3,2,1,0,0,0,-5
5924,10,11,5,2,0,1,4,1,-4
3985,10,11,1,2,0,0,6,0,-5
6474,10,11,3,2,0,1,11,0,-6
5628,10,11,5,2,1,1,12,0,-7
3534,10,11,1,2,1,0,7,1,-6
4709,10,12,3,2,1,0,10,2,-5
6700,10,12,5,2,1,1,5,3,-4
4160,10,12,1,2,0,0,8,4,-3
3680,10,12,3,2,0,0,3,0,-4
3638,10,12,5,2,0,0,12,0,-5
3259,10,12,1,2,1,0,0,0,-6
6949,10,12,3,2,1,0,11,1,-5
5632,11,1,1,2,0,1,9,0,0
5726,11,1,3,2,0,1,10,0,-1
4426,11,1,5,2,1,0,6,0,-2
4909,11,1,1,2,0,1,7,1,-1
5044,11,1,3,2,1,0,8,0,-2
6002,11,1,5,2,0,1,2,1,-1
3896,11,1,1,2,0,0,1,0,-2
4721,11,1,3,2,1,1,12,0,-3
5693,11,1,5,2,1,0,9,1,-2
